seed_id,variant_id,text,language_style,energy,tension,attention,primary_state,auto_flags,decision,review_note
stuck_018,stuck_018_g3,I feel like I need to step back because I'm circling the same answer.,code_mixed,normal,medium,stuck,stuck,,,
stuck_019,stuck_019_g1,"I feel stuck, and the more I watch, the more it feels the same.",english,normal,medium,stuck,stuck,,,
stuck_019,stuck_019_g2,"Mujhe atka hua mehsoos ho raha hai, aur jitni nazar dalti hoon, utna hi same lagta hai.",roman_urdu,normal,medium,stuck,stuck,,,
stuck_019,stuck_019_g3,"I feel atka hua, and jitna dekh raha hoon, utna hi same lag raha hai.",code_mixed,normal,medium,stuck,stuck,,,
stuck_020,stuck_020_g1,The brain has grabbed this bug and won’t let it go.,english,normal,medium,stuck,stuck,,,
stuck_020,stuck_020_g2,Brain ne is bug ko pakar liya hai aur chhodna nahin chahta.,roman_urdu,normal,medium,stuck,stuck,,,
stuck_020,stuck_020_g3,"Brain ne is bug ko pakar liya hai, and it won’t let go.",code_mixed,normal,medium,stuck,stuck,,,
stuck_016,stuck_016_g1,I'm rereading the same paragraph.,english,low,medium,stuck,stuck,,,
stuck_016,stuck_016_g2,Main same paragraph dobara read kar rahi hoon.,roman_urdu,low,medium,stuck,stuck,,,
stuck_016,stuck_016_g3,I'm same paragraph dobara read kar rahi hoon.,code_mixed,low,medium,stuck,stuck,,,
